"id","email","password","first_name","last_name","phone_number","document","user_status"
"1","kot@gmail.com","$2a$12$733CvT7B7/gNUk1g5ssAVeWaD..kuq.5LYad5y2yg6tSbXv7ZZoFi","Ivan","Kot","+375772222222","AB777777755","1"
"2","Los@gmail.ru","$2a$12$iVXAHUEw2sAYEdPSxyuuGelRlBgo7QX0ehqLx57Q19P1.xb.UguZS","Anton","Los","+375772222222","AB222222","2"
"3","Drozd@gmail.com","$2a$12$iVXAHUEw2sAYEdPSxyuuGelRlBgo7QX0ehqLx57Q19P1.xb.UguZS","Hanna","Drozd","+375773333333","MC3333333","1"
"4","Lis@gmail.com","$2a$12$pezk5mTyaAo44Zyt9jFaO.VOkLJ1HyV3S9ZFBIKq8b0hoSDICiVRi","Lanna","Lis","+125775555555","DD1233333","1"
"5","Volk@gmail.com","$2a$12$iVXAHUEw2sAYEdPSxyuuGelRlBgo7QX0ehqLx57Q19P1.xb.UguZS","Liza","Volk","+375775555555","MC5555555","2"
"6","slon@gmail.com","$2a$12$Z8ZJghA.EcBXpcMzfxU//eYZIBN/6/sgIDAHo0e9QVRuJ7GD20Czy","Ivan","Slon","+375771212121","DE123456789","2"
"7","Sid@gmail.com","$2a$12$UI2tjOItdBdrnLNt4iq8zeu2uzN3ReABQOTdumNTUotss3JT83FbC","Ivan","Sid","+125775555555","EE1111111111","1"
"8","first1@gmail.com","$2a$12$Ll6VdgWvwdxNaUvq3gJ3meopZJXe332bjRT7j0FUo.CSwXrF6qtJC","Hanna","First","+12577777777777","GG123124","1"
"9","zubr@gmail.com","$2a$12$rWoHe/vHQfTg5oEAi7PPhe/Vkt0ksATwoRn9BsoGWhCI6oLbeYyKS","Petr","Zubrov","+125335555555554","DF45555555","1"
"10","Medved@gmail.com","$2a$12$INU64OB/DxyEpgupvnd6wesV0Z9TL66qe1rsDgmGznSq6EFbRRKHe","Sergey","Medved","+125775555555","FF22222222222","2"
